symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16611415855.48,73918.5,True,,2026-03-17T22:38:18.989379+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,13367618960.51,2317.48,True,,2026-03-17T22:38:18.989379+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2077519359.6327,94.6,True,,2026-03-17T22:38:18.989379+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1687866390.0285,1.5208,True,,2026-03-17T22:38:18.989379+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,853873856.24,273.31,True,,2026-03-17T22:38:18.989379+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,695912273.93864,0.10038,True,,2026-03-17T22:38:18.989379+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,644423752.7290694,0.0036732,True,,2026-03-17T22:38:18.989379+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,568324151.61401,0.13956,True,,2026-03-17T22:38:18.989379+00:00
