symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,21488478724.54,2339.56,True,,2026-03-16T18:44:21.823746+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,20083898481.49,74214.8,True,,2026-03-16T18:44:21.823746+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,3143957564.8798,94.79,True,,2026-03-16T18:44:21.823746+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1291238378.93,1.5389,True,,2026-03-16T18:44:21.823746+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,1077465179.2487974,0.0039811,True,,2026-03-16T18:44:21.823746+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,1049616713.40494,0.10199,True,,2026-03-16T18:44:21.823746+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,689589926.43,276.97,True,,2026-03-16T18:44:21.823746+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,647650445.73,266.35,True,,2026-03-16T18:44:21.823746+00:00
GUSDT,G,PERPETUAL,USDT,TRADING,2024-08-15 12:30:00+00:00,7,0,573866591.16153,0.005127,True,,2026-03-16T18:44:21.823746+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,561316842.1786,21.67,True,,2026-03-16T18:44:21.823746+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,540968940.417,678.91,True,,2026-03-16T18:44:21.823746+00:00
TRUMPUSDT,TRUMP,PERPETUAL,USDT,TRADING,2025-01-18 13:00:00+00:00,6,2,442906777.50468,3.866,True,,2026-03-16T18:44:21.823746+00:00
