symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16641609394.54,71284.8,True,,2026-03-18T21:21:32.308901+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,15763067530.03,2194.05,True,,2026-03-18T21:21:32.308901+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2382654245.1668,90.29,True,,2026-03-18T21:21:32.308901+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,956648009.5383,1.4655,True,,2026-03-18T21:21:32.308901+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,876985441.0565,42.887,True,,2026-03-18T21:21:32.308901+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,727242386.22,249.05,True,,2026-03-18T21:21:32.308901+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,681713577.99825,0.09526,True,,2026-03-18T21:21:32.308901+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,549436840.14943,0.88532,True,,2026-03-18T21:21:32.308901+00:00
BARDUSDT,BARD,PERPETUAL,USDT,TRADING,2025-09-18 11:00:00+00:00,7,0,427435520.4022,0.6691,True,,2026-03-18T21:21:32.308901+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,423660967.5382485,0.003521,True,,2026-03-18T21:21:32.308901+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,419517087.849,651.38,True,,2026-03-18T21:21:32.308901+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,379805401.03086,0.09573,True,,2026-03-18T21:21:32.308901+00:00
