symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,22063746304.14,2347.15,True,,2026-03-17T02:29:19.881660+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,21967800835.79,75115.5,True,,2026-03-17T02:29:19.881660+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,3016658804.334,95.01,True,,2026-03-17T02:29:19.881660+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1436571646.2895,1.5666,True,,2026-03-17T02:29:19.881660+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,1148607083.628912,0.0039619,True,,2026-03-17T02:29:19.881660+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,1075947093.26599,0.10242,True,,2026-03-17T02:29:19.881660+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,915098061.1,277.83,True,,2026-03-17T02:29:19.881660+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,661553943.9102,20.804,True,,2026-03-17T02:29:19.881660+00:00
