symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,13772833160.61,70784.0,True,,2026-03-20T07:43:17.522245+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,11779331653.79,2148.62,True,,2026-03-20T07:43:17.522245+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,1839853749.3428,89.36,True,,2026-03-20T07:43:17.522245+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,736130778.8422,1.4545,True,,2026-03-20T07:43:17.522245+00:00
PAXGUSDT,PAXG,PERPETUAL,USDT,TRADING,2025-03-27 10:30:00+00:00,4,3,611485446.6839,4700.89,True,,2026-03-20T07:43:17.522245+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,564092255.85,298.73,True,,2026-03-20T07:43:17.522245+00:00
LYNUSDT,LYN,PERPETUAL,USDT,TRADING,2025-10-06 07:30:00+00:00,7,0,559551272.31282,0.09469,True,,2026-03-20T07:43:17.522245+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,557139566.10937,39.788,True,,2026-03-20T07:43:17.522245+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,453934481.85347,0.09423,True,,2026-03-20T07:43:17.522245+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,431724790.4,236.48,True,,2026-03-20T07:43:17.522245+00:00
