symbol,family,trade_count,expectancy,precision,avg_probability
RIVERUSDT,trend_ema,16,0.04778056190594938,0.9375,0.6593249424628019
SIRENUSDT,trend_ema,12,0.03890779587457329,0.9166666666666666,0.5947102040163581
PIPPINUSDT,trend_ema,7,0.038224760310428464,0.7142857142857143,0.6362153536151253
SOLUSDT,trend_ema,4,0.019440220464582773,1.0,0.6712610363086186
ZECUSDT,trend_ema,7,0.01702033378370369,0.8571428571428571,0.6052681141019968
XRPUSDT,trend_ema,2,0.016588674404986677,1.0,0.6076124364498557
HYPEUSDT,trend_ema,9,0.015633271250763633,0.8888888888888888,0.5939669890282602
BNBUSDT,trend_ema,3,0.009927118813040463,1.0,0.542315631344774
DOGEUSDT,trend_ema,4,0.009345042345827684,0.75,0.6338876401336384
1000PEPEUSDT,trend_ema,4,0.0038630441767432072,0.5,0.5947497531240278
BTCUSDT,trend_ema,2,0.0015097111737270357,0.5,0.580422465467566
