symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,10,0.05477996606795306,0.9,0.7362082027925897
PIPPINUSDT,breakout,4,0.03879833934568644,1.0,0.818209076666588
ZECUSDT,breakout,5,0.023483938066175936,1.0,0.7536052112868111
DOGEUSDT,breakout,2,0.020940628872187853,1.0,0.7817766596544069
ETHUSDT,breakout,1,0.019591768628157657,1.0,0.847136038702254
XRPUSDT,breakout,1,0.01938510157804608,1.0,0.8140135193293182
1000PEPEUSDT,trend_ema,11,0.014206464479393204,0.9090909090909091,0.7257067021215958
SOLUSDT,trend_ema,14,0.008124168357431195,0.7142857142857143,0.7149306312542877
1000PEPEUSDT,breakout,3,0.007251638203851853,0.6666666666666666,0.8071827959100192
BTCUSDT,trend_ema,4,0.006239325760542334,1.0,0.7734076984258325
ETHUSDT,trend_ema,10,0.004858050929802751,0.7,0.7056831121223686
DOGEUSDT,trend_ema,13,0.004761968722383013,0.6153846153846154,0.7397587264219326
XRPUSDT,trend_ema,16,0.004002056545217279,0.625,0.7280283903545789
SOLUSDT,breakout,4,0.000803427028603304,0.25,0.6824255184592976
ZECUSDT,trend_ema,10,-0.0008534181217199719,0.4,0.6948511738742067
BTCUSDT,breakout,1,-0.003059218430270478,0.0,0.8135367342234917
