symbol,family,trade_count,expectancy,precision,avg_probability
RIVERUSDT,trend_ema,8,0.027227292944352877,0.875,0.5082574542989616
COSUSDT,trend_ema,2,0.020889560235238025,1.0,0.5271104147271801
ETHUSDT,trend_ema,2,0.014339073537131049,1.0,0.45675728538155647
ETHUSDC,trend_ema,2,0.01408027977705683,1.0,0.4565157660243185
BTCUSDT,trend_ema,1,0.009014915711265893,1.0,0.5359224256905175
BTCUSDC,trend_ema,1,0.008792742327933473,1.0,0.5360967388265374
SOLUSDT,trend_ema,2,0.005016583708466172,0.5,0.47963534065713714
