symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,10970227854.18,73897.1,True,,2026-03-18T11:02:16.820391+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,8988315467.36,2311.42,True,,2026-03-18T11:02:16.820391+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,1649148022.3868,93.72,True,,2026-03-18T11:02:16.820391+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1000565362.5735,1.5086,True,,2026-03-18T11:02:16.820391+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,646593817.29,279.55,True,,2026-03-18T11:02:16.820391+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,525794127.84251,0.11544,True,,2026-03-18T11:02:16.820391+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,504451849.03034,0.09905,True,,2026-03-18T11:02:16.820391+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,467523236.2357,0.86,True,,2026-03-18T11:02:16.820391+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,465820142.5396528,0.003659,True,,2026-03-18T11:02:16.820391+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,401090053.09252,41.478,True,,2026-03-18T11:02:16.820391+00:00
ENSOUSDT,ENSO,PERPETUAL,USDT,TRADING,2025-10-14 09:00:00+00:00,6,1,350336701.8508,1.2391,True,,2026-03-18T11:02:16.820391+00:00
POLYXUSDT,POLYX,PERPETUAL,USDT,TRADING,2023-10-25 02:30:00+00:00,7,0,310683046.38533,0.04724,True,,2026-03-18T11:02:16.820391+00:00
