symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,18669956523.74,2273.27,True,,2026-03-16T14:56:39.245858+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,18425922569.75,73392.0,True,,2026-03-16T14:56:39.245858+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2898752596.0317,93.14,True,,2026-03-16T14:56:39.245858+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1050894843.7559,1.4883,True,,2026-03-16T14:56:39.245858+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,969150092.6443143,0.0040414,True,,2026-03-16T14:56:39.245858+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,926356210.94491,0.10251,True,,2026-03-16T14:56:39.245858+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,757912712.81,294.82,True,,2026-03-16T14:56:39.245858+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,501750269.45,673.23,True,,2026-03-16T14:56:39.245858+00:00
