symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,5935317822.48,71478.3,True,,2026-03-15T15:38:50.561082+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,4754009754.19,2093.01,True,,2026-03-15T15:38:50.561082+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,908545526.6262,87.9,True,,2026-03-15T15:38:50.561082+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,551871803.3071,23.677,True,,2026-03-15T15:38:50.561082+00:00
COSUSDT,COS,PERPETUAL,USDT,TRADING,2024-09-30 13:00:00+00:00,7,0,499773494.753418,0.00184,True,,2026-03-15T15:38:50.561082+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,463699564.4109,1.4174,True,,2026-03-15T15:38:50.561082+00:00
XANUSDT,XAN,PERPETUAL,USDT,TRADING,2025-09-29 10:30:00+00:00,7,0,442674715.973369,0.01112,True,,2026-03-15T15:38:50.561082+00:00
TRUMPUSDT,TRUMP,PERPETUAL,USDT,TRADING,2025-01-18 13:00:00+00:00,6,2,438521156.30775,3.948,True,,2026-03-15T15:38:50.561082+00:00
