symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,18759875531.87,73891.8,True,,2026-03-17T12:25:07.231958+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,18723189706.52,2323.23,True,,2026-03-17T12:25:07.231958+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2631429870.1548,93.59,True,,2026-03-17T12:25:07.231958+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1669970342.3187,1.5071,True,,2026-03-17T12:25:07.231958+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,1019340818.98,269.15,True,,2026-03-17T12:25:07.231958+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,854090551.58157,0.09965,True,,2026-03-17T12:25:07.231958+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,803918717.4263074,0.0036738,True,,2026-03-17T12:25:07.231958+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,678337493.0441,22.491,True,,2026-03-17T12:25:07.231958+00:00
