symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,11943474384.08,73944.4,True,,2026-03-18T05:50:37.954662+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,9705349802.23,2321.49,True,,2026-03-18T05:50:37.954662+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,1785649178.4677,94.0,True,,2026-03-18T05:50:37.954662+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1142565248.1408,1.5259,True,,2026-03-18T05:50:37.954662+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,676000448.46,279.82,True,,2026-03-18T05:50:37.954662+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,538703330.15786,0.12512,True,,2026-03-18T05:50:37.954662+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,526574334.7905019,0.0036813,True,,2026-03-18T05:50:37.954662+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,526208546.10117,0.10042,True,,2026-03-18T05:50:37.954662+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,476407795.5964,0.80262,True,,2026-03-18T05:50:37.954662+00:00
ENSOUSDT,ENSO,PERPETUAL,USDT,TRADING,2025-10-14 09:00:00+00:00,6,1,423646484.30864,1.2378,True,,2026-03-18T05:50:37.954662+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,420734816.90573,41.394,True,,2026-03-18T05:50:37.954662+00:00
POLYXUSDT,POLYX,PERPETUAL,USDT,TRADING,2023-10-25 02:30:00+00:00,7,0,373752242.41843,0.04857,True,,2026-03-18T05:50:37.954662+00:00
