symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16483346598.39,2276.39,True,,2026-03-16T13:17:56.531931+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16265962943.38,73880.4,True,,2026-03-16T13:17:56.531931+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2525240089.5477,93.82,True,,2026-03-16T13:17:56.531931+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,985823330.1779,1.4775,True,,2026-03-16T13:17:56.531931+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,863525215.6271555,0.0041122,True,,2026-03-16T13:17:56.531931+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,823078111.17078,0.10044,True,,2026-03-16T13:17:56.531931+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,727083521.09,289.0,True,,2026-03-16T13:17:56.531931+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,467271768.97,230.91,True,,2026-03-16T13:17:56.531931+00:00
