symbol,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,5946772983.73,71329.9,True,,2026-03-15T14:35:47.216979+00:00
ETHUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,4741419423.57,2086.72,True,,2026-03-15T14:35:47.216979+00:00
BTCUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:30:00+00:00,1,3,1297801645.1,71341.1,True,,2026-03-15T14:35:47.216979+00:00
ETHUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:35:00+00:00,2,3,1214290534.58,2087.05,True,,2026-03-15T14:35:47.216979+00:00
SOLUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,905320444.5691,87.54,True,,2026-03-15T14:35:47.216979+00:00
RIVERUSDT,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,554838729.4695,23.626,True,,2026-03-15T14:35:47.216979+00:00
COSUSDT,PERPETUAL,USDT,TRADING,2024-09-30 13:00:00+00:00,7,0,553244403.294617,0.001818,True,,2026-03-15T14:35:47.216979+00:00
TRUMPUSDT,PERPETUAL,USDT,TRADING,2025-01-18 13:00:00+00:00,6,2,468010680.89883,3.95,True,,2026-03-15T14:35:47.216979+00:00
