symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,11,0.05267876063732002,0.9090909090909091,0.698413217908132
PIPPINUSDT,breakout,4,0.03879833934568644,1.0,0.767998585380031
ZECUSDT,breakout,5,0.023483938066175936,1.0,0.7377524721533648
ETHUSDT,breakout,1,0.019591768628157657,1.0,0.7739766926661164
XRPUSDT,breakout,1,0.01938510157804608,1.0,0.7960972866758707
DOGEUSDT,breakout,3,0.018532451288801707,1.0,0.6992468378400701
1000PEPEUSDT,trend_ema,10,0.015561076244915881,0.9,0.7152605571582384
SOLUSDT,breakout,4,0.008593649470737298,0.5,0.7000981930274994
SOLUSDT,trend_ema,11,0.008319431922593585,0.7272727272727273,0.745578436181031
1000PEPEUSDT,breakout,3,0.007251638203851853,0.6666666666666666,0.7521713943194248
ETHUSDT,trend_ema,9,0.006762123634845862,0.7777777777777778,0.6516466174081383
DOGEUSDT,trend_ema,13,0.006583426278537226,0.6923076923076923,0.7269314573382064
BTCUSDT,trend_ema,4,0.006239325760542334,1.0,0.7466710963819861
XRPUSDT,trend_ema,17,0.004900139731769378,0.6470588235294118,0.6912266371130038
ZECUSDT,trend_ema,9,0.001087783384107069,0.4444444444444444,0.7141983616034558
BTCUSDT,breakout,2,-0.0036064183356895292,0.0,0.7221747742530855
