symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,15828890878.69,73583.2,True,,2026-03-16T11:49:55.594169+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,15273431565.63,2271.61,True,,2026-03-16T11:49:55.594169+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2453470065.4233,93.85,True,,2026-03-16T11:49:55.594169+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1000370341.6766,1.4704,True,,2026-03-16T11:49:55.594169+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,821524361.00995,0.10009,True,,2026-03-16T11:49:55.594169+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,780612416.788623,0.0039679,True,,2026-03-16T11:49:55.594169+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,704412058.5,290.55,True,,2026-03-16T11:49:55.594169+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,473802542.2,231.66,True,,2026-03-16T11:49:55.594169+00:00
TRUMPUSDT,TRUMP,PERPETUAL,USDT,TRADING,2025-01-18 13:00:00+00:00,6,2,461696018.59744,3.888,True,,2026-03-16T11:49:55.594169+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,440549873.297,677.82,True,,2026-03-16T11:49:55.594169+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,430013068.4465,25.903,True,,2026-03-16T11:49:55.594169+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,356985981.78966,39.393,True,,2026-03-16T11:49:55.594169+00:00
