symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,17944417730.2,74284.7,True,,2026-03-17T17:26:30.525786+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16488691015.32,2329.3,True,,2026-03-17T17:26:30.525786+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2372164583.0367,94.39,True,,2026-03-17T17:26:30.525786+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1844530623.1384,1.5278,True,,2026-03-17T17:26:30.525786+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,1001173136.2,270.74,True,,2026-03-17T17:26:30.525786+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,734636281.25013,0.09998,True,,2026-03-17T17:26:30.525786+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,703203843.81419,0.14487,True,,2026-03-17T17:26:30.525786+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,682643753.8247496,0.0036621,True,,2026-03-17T17:26:30.525786+00:00
