symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,12,0.051827042284472415,0.9166666666666666,0.7677699
PIPPINUSDT,breakout,4,0.03879833934568644,1.0,0.8662088
ZECUSDT,breakout,6,0.017550609589884754,0.8333333333333334,0.81838614
DOGEUSDT,breakout,1,0.017449429452655825,1.0,1.0
ETHUSDT,breakout,3,0.01638745810953269,1.0,0.6025641
1000PEPEUSDT,trend_ema,11,0.01570641396397922,0.9090909090909091,0.6823377
1000PEPEUSDT,breakout,4,0.010232798782162707,0.75,0.7431182
DOGEUSDT,trend_ema,18,0.007961514219381842,0.7222222222222222,0.688932
SOLUSDT,trend_ema,14,0.006929498291415746,0.6428571428571429,0.7413815
BTCUSDT,trend_ema,4,0.006239325760542334,1.0,0.8662088
XRPUSDT,breakout,2,0.005939738026524545,0.5,0.68472385
XRPUSDT,trend_ema,16,0.005857246806026665,0.6875,0.70979846
SOLUSDT,breakout,5,0.005085991837478043,0.4,0.6668571
ETHUSDT,trend_ema,15,0.0031842138169650173,0.6,0.62136143
ZECUSDT,trend_ema,9,2.5401723632174757e-05,0.4444444444444444,0.7873016
BTCUSDT,breakout,2,-0.0036064183356895292,0.0,0.6730769
