symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,19189113885.58,70409.5,True,,2026-03-19T10:09:26.405923+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,18066106446.11,2184.5,True,,2026-03-19T10:09:26.405923+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2691678339.0063,90.14,True,,2026-03-19T10:09:26.405923+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1045556834.8996,1.4663,True,,2026-03-19T10:09:26.405923+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,981737722.64129,39.967,True,,2026-03-19T10:09:26.405923+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,732405302.89,244.14,True,,2026-03-19T10:09:26.405923+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,680307595.79928,0.09481,True,,2026-03-19T10:09:26.405923+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,554785276.00233,0.80279,True,,2026-03-19T10:09:26.405923+00:00
