symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,15341028451.68,73600.8,True,,2026-03-18T00:39:09.765671+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,12127087606.33,2308.69,True,,2026-03-18T00:39:09.765671+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,1963640302.2714,94.16,True,,2026-03-18T00:39:09.765671+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1581306469.9276,1.5107,True,,2026-03-18T00:39:09.765671+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,748168588.18,269.49,True,,2026-03-18T00:39:09.765671+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,653411312.77151,0.09975,True,,2026-03-18T00:39:09.765671+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,622761077.9971925,0.0036598,True,,2026-03-18T00:39:09.765671+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,562009477.90833,0.1262,True,,2026-03-18T00:39:09.765671+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,427936192.74036,40.75,True,,2026-03-18T00:39:09.765671+00:00
ENSOUSDT,ENSO,PERPETUAL,USDT,TRADING,2025-10-14 09:00:00+00:00,6,1,426208439.75246,1.1917,True,,2026-03-18T00:39:09.765671+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,424890516.7477,22.965,True,,2026-03-18T00:39:09.765671+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,410677054.84903,0.7177,True,,2026-03-18T00:39:09.765671+00:00
