symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,19563786521.67,2279.32,True,,2026-03-16T16:25:58.363980+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,19413268773.21,73413.3,True,,2026-03-16T16:25:58.363980+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,3025712675.9056,93.17,True,,2026-03-16T16:25:58.363980+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1183963894.2451,1.4969,True,,2026-03-16T16:25:58.363980+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,1035950999.7340214,0.0039359,True,,2026-03-16T16:25:58.363980+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,1019480623.66564,0.10028,True,,2026-03-16T16:25:58.363980+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,740269306.58,286.92,True,,2026-03-16T16:25:58.363980+00:00
GUSDT,G,PERPETUAL,USDT,TRADING,2024-08-15 12:30:00+00:00,7,0,529611033.222063,0.005085,True,,2026-03-16T16:25:58.363980+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,522076062.818,672.95,True,,2026-03-16T16:25:58.363980+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,506790670.2025,21.676,True,,2026-03-16T16:25:58.363980+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,488479550.19,237.32,True,,2026-03-16T16:25:58.363980+00:00
TRUMPUSDT,TRUMP,PERPETUAL,USDT,TRADING,2025-01-18 13:00:00+00:00,6,2,467888295.35745,3.852,True,,2026-03-16T16:25:58.363980+00:00
