symbol,family,trade_count,expectancy,precision,avg_probability
RIVERUSDT,trend_ema,16,0.04778056190594938,0.9375,0.6582591659664594
SIRENUSDT,trend_ema,12,0.03890779587457329,0.9166666666666666,0.5995478704206834
PIPPINUSDT,trend_ema,7,0.038224760310428464,0.7142857142857143,0.6379840620513093
ZECUSDT,trend_ema,7,0.01702033378370369,0.8571428571428571,0.6073067619919981
XRPUSDT,trend_ema,2,0.016588674404986677,1.0,0.6067679992895967
HYPEUSDT,trend_ema,9,0.015633271250763633,0.8888888888888888,0.5976093096195105
SOLUSDT,trend_ema,5,0.012926948966081486,0.8,0.6273210711250878
BNBUSDT,trend_ema,3,0.009927118813040463,1.0,0.5487765773140563
DOGEUSDT,trend_ema,4,0.009345042345827684,0.75,0.6358099359540772
1000PEPEUSDT,trend_ema,4,0.0038630441767432072,0.5,0.5988106014333929
BTCUSDT,trend_ema,3,0.0036219458426365483,0.6666666666666666,0.5394543542191724
