symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,9,0.054452983102411166,0.8888888888888888,0.7521877603217837
PIPPINUSDT,breakout,4,0.03879833934568644,1.0,0.8438420964481709
ZECUSDT,breakout,5,0.023483938066175936,1.0,0.7607004565415691
DOGEUSDT,breakout,2,0.020940628872187853,1.0,0.7760697777114866
XRPUSDT,breakout,1,0.01938510157804608,1.0,0.8257833716251817
ETHUSDT,breakout,2,0.01700536288822024,1.0,0.685908350560463
1000PEPEUSDT,trend_ema,9,0.013842982861667049,0.8888888888888888,0.7566980358271213
1000PEPEUSDT,breakout,4,0.010232798782162707,0.75,0.7896366916443862
BTCUSDT,trend_ema,3,0.008015262746583913,1.0,0.7999376729112914
SOLUSDT,trend_ema,12,0.007141677468168096,0.6666666666666666,0.7332443736709736
DOGEUSDT,trend_ema,13,0.006963499891534368,0.6923076923076923,0.7424139150560448
XRPUSDT,trend_ema,15,0.004904016659040705,0.6666666666666666,0.7184333509419971
SOLUSDT,breakout,3,0.00405278226999073,0.3333333333333333,0.7220648131936773
ETHUSDT,trend_ema,9,0.0026038735519384893,0.5555555555555556,0.7026152075758464
ZECUSDT,trend_ema,8,-0.0017475577249784326,0.375,0.736966166919725
BTCUSDT,breakout,2,-0.0036064183356895292,0.0,0.7021163731524895
