symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,21240035826.54,2318.75,True,,2026-03-17T03:59:29.747198+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,20488899798.18,74417.8,True,,2026-03-17T03:59:29.747198+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2885220437.5639,94.02,True,,2026-03-17T03:59:29.747198+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1539973310.7675,1.5416,True,,2026-03-17T03:59:29.747198+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,1151753634.7136548,0.0039207,True,,2026-03-17T03:59:29.747198+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,1044692267.95943,0.10119,True,,2026-03-17T03:59:29.747198+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,910723022.52,272.38,True,,2026-03-17T03:59:29.747198+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,702598295.8803,23.333,True,,2026-03-17T03:59:29.747198+00:00
GUSDT,G,PERPETUAL,USDT,TRADING,2024-08-15 12:30:00+00:00,7,0,626209616.038513,0.004893,True,,2026-03-17T03:59:29.747198+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,562584235.8,284.2,True,,2026-03-17T03:59:29.747198+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,547670986.8384,40.445,True,,2026-03-17T03:59:29.747198+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,519846113.78,676.23,True,,2026-03-17T03:59:29.747198+00:00
