symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,13675148925.44,71920.2,True,,2026-03-18T14:16:03.294385+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,11975916056.83,2224.93,True,,2026-03-18T14:16:03.294385+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2117589932.9177,89.89,True,,2026-03-18T14:16:03.294385+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1043280815.0474,1.4603,True,,2026-03-18T14:16:03.294385+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,751059888.22,259.1,True,,2026-03-18T14:16:03.294385+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,594259167.23166,41.229,True,,2026-03-18T14:16:03.294385+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,583651294.18513,0.09526,True,,2026-03-18T14:16:03.294385+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,518128211.32046,0.87054,True,,2026-03-18T14:16:03.294385+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,485910516.68388,0.12398,True,,2026-03-18T14:16:03.294385+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,478896657.4211607,0.0035011,True,,2026-03-18T14:16:03.294385+00:00
