symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,19614719735.02,2320.97,True,,2026-03-17T08:37:20.229421+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,18777737539.73,74197.1,True,,2026-03-17T08:37:20.229421+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2628205724.22,94.52,True,,2026-03-17T08:37:20.229421+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1614818133.8086,1.528,True,,2026-03-17T08:37:20.229421+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,964981938.61,268.05,True,,2026-03-17T08:37:20.229421+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,951043876.4425112,0.0038131,True,,2026-03-17T08:37:20.229421+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,937818670.01966,0.10113,True,,2026-03-17T08:37:20.229421+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,720551028.3047,23.963,True,,2026-03-17T08:37:20.229421+00:00
GUSDT,G,PERPETUAL,USDT,TRADING,2024-08-15 12:30:00+00:00,7,0,574854917.840245,0.004793,True,,2026-03-17T08:37:20.229421+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,571396385.55,276.71,True,,2026-03-17T08:37:20.229421+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,514085200.59118,0.17214,True,,2026-03-17T08:37:20.229421+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,498920601.61601,41.094,True,,2026-03-17T08:37:20.229421+00:00
