symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,21783206569.02,2344.56,True,,2026-03-16T21:02:45.018522+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,20385236073.56,74156.1,True,,2026-03-16T21:02:45.018522+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,3266331174.8281,95.6,True,,2026-03-16T21:02:45.018522+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1350919965.0813,1.5271,True,,2026-03-16T21:02:45.018522+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,1107830701.503964,0.0039583,True,,2026-03-16T21:02:45.018522+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,1069762304.07653,0.10126,True,,2026-03-16T21:02:45.018522+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,766150197.48,277.81,True,,2026-03-16T21:02:45.018522+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,632225721.98,279.92,True,,2026-03-16T21:02:45.018522+00:00
GUSDT,G,PERPETUAL,USDT,TRADING,2024-08-15 12:30:00+00:00,7,0,598309680.294063,0.005166,True,,2026-03-16T21:02:45.018522+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,575330505.8176,21.288,True,,2026-03-16T21:02:45.018522+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,552056933.875,676.62,True,,2026-03-16T21:02:45.018522+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,475570245.26229,40.449,True,,2026-03-16T21:02:45.018522+00:00
