symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,11,0.05267876063732002,0.9090909090909091,0.7187746654204853
PIPPINUSDT,breakout,4,0.03879833934568644,1.0,0.8101502204294202
ZECUSDT,breakout,5,0.023483938066175936,1.0,0.7557438356270406
DOGEUSDT,breakout,2,0.020940628872187853,1.0,0.7633879145156808
ETHUSDT,breakout,1,0.019591768628157657,1.0,0.8048308647809675
XRPUSDT,breakout,1,0.01938510157804608,1.0,0.8113671551568465
1000PEPEUSDT,breakout,4,0.010232798782162707,0.75,0.7581518445450167
1000PEPEUSDT,trend_ema,13,0.010160581849686783,0.7692307692307693,0.7205679448274006
SOLUSDT,breakout,4,0.008593649470737298,0.5,0.684320121829436
BTCUSDT,trend_ema,4,0.006239325760542334,1.0,0.7791333620403601
SOLUSDT,trend_ema,13,0.006010364377576124,0.6153846153846154,0.7569107973822731
ETHUSDT,trend_ema,10,0.0052377456001778165,0.7,0.7055024014603017
DOGEUSDT,trend_ema,13,0.0045079354959576216,0.6153846153846154,0.7434382817467744
XRPUSDT,trend_ema,16,0.004019310890022959,0.625,0.7356196150271933
ZECUSDT,trend_ema,9,0.00029150910437318524,0.4444444444444444,0.7144040416748536
BTCUSDT,breakout,2,-0.0036064183356895292,0.0,0.774495980004145
