symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,17894559427.62,73944.5,True,,2026-03-17T16:01:03.063925+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16854710469.97,2316.14,True,,2026-03-17T16:01:03.063925+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2368681068.3491,93.82,True,,2026-03-17T16:01:03.063925+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1660309865.7453,1.5139,True,,2026-03-17T16:01:03.063925+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,1044225204.73,269.31,True,,2026-03-17T16:01:03.063925+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,756999895.29624,0.09966,True,,2026-03-17T16:01:03.063925+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,703732439.779138,0.0036422,True,,2026-03-17T16:01:03.063925+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,610208985.79182,0.16713,True,,2026-03-17T16:01:03.063925+00:00
