symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,32,0.03850497596495342,0.84375,0.92104584
PIPPINUSDT,breakout,3,0.031604258086368686,1.0,0.92981094
ZECUSDT,breakout,5,0.023483938066175936,1.0,0.8478491
XRPUSDT,breakout,1,0.01938510157804608,1.0,0.96703297
DOGEUSDT,breakout,3,0.018532451288801707,1.0,0.9087079
ZECUSDT,trend_ema,46,0.014593210076954872,0.8260869565217391,0.92872775
1000PEPEUSDT,trend_ema,47,0.010792857877934313,0.7659574468085106,0.9359788
DOGEUSDT,trend_ema,49,0.008258451698980464,0.7551020408163265,0.913432
ETHUSDT,trend_ema,42,0.00753330357258143,0.8095238095238095,0.93392974
SOLUSDT,trend_ema,45,0.007452860737178152,0.7555555555555555,0.92840815
1000PEPEUSDT,breakout,3,0.007251638203851853,0.6666666666666666,0.8397792
XRPUSDT,trend_ema,54,0.006097957177484035,0.7407407407407407,0.9105876
ETHUSDT,breakout,2,0.005740574365167532,0.5,0.9085165
BTCUSDT,trend_ema,27,0.004813185302241453,0.8148148148148148,0.92085236
BTCUSDT,breakout,3,0.0029167090803521143,0.3333333333333333,0.80972224
SOLUSDT,breakout,3,4.0686699869377e-05,0.3333333333333333,0.82240885
