symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,breakout,5,0.03563066728065154,1.0,0.87814
PIPPINUSDT,trend_ema,41,0.030998338880577382,0.7560975609756098,0.8787548
ZECUSDT,breakout,5,0.01548334170543066,0.8,0.8320967
ZECUSDT,trend_ema,48,0.014473241114954044,0.8333333333333334,0.91462547
1000PEPEUSDT,breakout,5,0.013399352336491277,0.8,0.8000556
ETHUSDT,breakout,6,0.012627638660643882,0.8333333333333334,0.7927548
DOGEUSDT,breakout,6,0.011967187040354632,0.8333333333333334,0.81977814
1000PEPEUSDT,trend_ema,58,0.009943334837321677,0.7241379310344828,0.89944965
DOGEUSDT,trend_ema,54,0.008067750335242891,0.7407407407407407,0.89817345
SOLUSDT,trend_ema,53,0.006844419039860843,0.7169811320754716,0.9063954
ETHUSDT,trend_ema,56,0.006605954284751067,0.7678571428571429,0.88675153
XRPUSDT,trend_ema,67,0.006178867721613772,0.7313432835820896,0.8822937
XRPUSDT,breakout,2,0.005925161616636334,0.5,0.85
BTCUSDT,trend_ema,36,0.005645556670701397,0.8333333333333334,0.87100357
SOLUSDT,breakout,5,-0.00241837112359815,0.2,0.7809462
BTCUSDT,breakout,3,-0.003134084326696835,0.0,0.8066403
