symbol,strategy_id,family,entry_time,exit_time,side,net_return,gross_return,exit_reason,bars_held,signal_strength,label_take,target_hit,stop_hit,horizon_hit,mae,mfe,mae_limit_breached,recent_same_side_failures,recent_same_side_mean_return,open,high,low,close,volume,close_time,quote_asset_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,log_return_1,log_return_4,log_return_16,vol_norm_return_4,body_ratio,upper_wick_ratio,lower_wick_ratio,range_ratio,rsi_14,macd_hist,ema_fast_distance,ema_slow_distance,ema_fast_slope,ema_slow_slope,bb_bandwidth,bb_zscore,atr_14,volume_zscore,relative_volume,trend_regime,volatility_regime,drawdown_20,hour_sin,hour_cos,day_of_week,session_bucket,probability,accepted,group_key
ZECUSDT,trend_ema__directionlong_only_fast21_rsi_threshold58.0_slow34,trend_ema,2026-02-16 12:00:00+00:00,2026-02-16 12:45:00+00:00,long,0.025110594391727786,0.025910594391727784,target,3,0.3053630772908872,1,True,False,False,0.0021511020777258637,0.029392047992556805,0,0,0.011288298250537575,294.79,297.47,294.76,296.34,20262.73,2026-02-16 12:14:59.999000+00:00,5999956.88347,32244,11018.867,3263619.61717,0.005278128371976625,0.021178345383606974,0.04510693736252316,3.322538026132915,0.5719557195571711,0.41697416974171114,0.011070110701117769,0.009144901127083879,65.26815386454436,1.1439937183250428,0.01997162151653926,0.019002076429267815,0.005446493401385144,0.002498065396343563,0.05920189603050384,0.9166632217263601,3.0310368008177755,0.2720380144737117,1.140733286390795,-1.0,0.55,0.0,1.2246467991473532e-16,-1.0,0,1.0,0.8985448532382115,True,ZECUSDT|trend_ema|trend_ema__directionlong_only_fast21_rsi_threshold58.0_slow34
HYPEUSDT,trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow55,trend_ema,2026-02-17 07:15:00+00:00,2026-02-17 08:30:00+00:00,short,0.014302221809580715,0.015102221809580716,target,5,0.34495568421586853,1,True,False,False,0.0015375138640738523,0.015541844075950743,0,0,0.015606118690805481,30.275,30.317,30.152,30.16,61284.19,2026-02-17 07:29:59.999000+00:00,1851984.72343,9901,19746.82,596964.79534,-0.0038057462994006,-0.0061152161480631274,-0.023495027038360657,-1.9394908007361569,0.6969696969696911,0.2545454545454655,0.0484848484848434,0.00547082228116708,32.75221578920657,-0.05394423957135913,-0.011319015924446021,-0.012966744964321432,-0.0031259542963391063,-0.0020649099636198542,0.04265124211750254,-0.6556026138558225,0.1815847248618115,-0.4507817010274313,0.7412860901236539,-1.0,0.1,-0.02841311771148769,0.9659258262890683,-0.25881904510252063,1,0.0,0.8901671517193094,True,HYPEUSDT|trend_ema|trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow55
SOLUSDT,trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow55,trend_ema,2026-02-17 10:45:00+00:00,2026-02-17 14:30:00+00:00,short,0.010770899801930476,0.011570899801930476,target,15,0.40759760760062763,1,True,False,False,0.0060311822264342806,0.01725821027687852,0,0,0.010743385821381514,85.03,85.08,84.82,84.99,155035.05,2026-02-17 10:59:59.999000+00:00,13170318.3692,14106,86169.14,7320918.5264,-0.0003529204201091665,-0.010300922173858654,-0.016916929128150394,-3.9504511014432473,0.15384615384617487,0.19230769230767758,0.6538461538461475,0.0030591834333451597,29.62011961996862,-0.12918205059895035,-0.009630997819693352,-0.011147149910561168,-0.0032037289372157662,-0.0016125899789070086,0.023323333790400642,-0.9873636209945501,0.38395538224332026,-0.04323999771301279,0.977508209690755,-1.0,0.39,-0.019044321329639957,0.49999999999999994,-0.8660254037844387,1,1.0,0.8691326050892291,True,SOLUSDT|trend_ema|trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow55
ETHUSDT,trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow55,trend_ema,2026-02-23 16:45:00+00:00,2026-02-23 17:15:00+00:00,short,0.014460329437333042,0.015260329437333043,target,2,0.24688030998098043,1,True,False,False,0.000541454090684742,0.01833189595687262,0,0,0.007593976488417526,1890.78,1891.52,1882.45,1884.2,47213.93,2026-02-23 16:59:59.999000+00:00,89035015.03198,97476,20334.153,38347005.98417,-0.0034861147152521975,-0.005567742728843915,-0.018446788077176767,-1.485727418361798,0.7254685777287733,0.08158765159867853,0.1929437706725482,0.004813714043095179,37.65598450095098,-4.00036836944421,-0.00944570803005533,-0.010216662879754517,-0.0021943951794934913,-0.0015782560146302416,0.028636887489303042,-0.892435771628683,11.363421967447538,-0.5229289224827491,0.610227052729363,-1.0,0.79,-0.024559441717918462,-0.8660254037844385,-0.5000000000000004,0,2.0,0.9022269144605942,True,ETHUSDT|trend_ema|trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow55
XRPUSDT,trend_ema__directionshort_only_fast12_rsi_threshold52.0_slow89,trend_ema,2026-03-05 16:00:00+00:00,2026-03-06 04:00:00+00:00,short,0.009927315311986042,0.010727315311986042,horizon,48,0.33381319074045845,1,False,False,True,0.0049530028374312855,0.014541446753736252,0,0,0.008023494861587304,1.416,1.4162,1.3952,1.3994,26896524.5,2026-03-05 16:14:59.999000+00:00,37748172.67153,43312,11854106.2,16629459.02059,-0.01179242194186863,-0.015598728080998383,-0.026096410040131388,-3.023547888194245,0.7904761904761914,0.009523809523808517,0.2,0.015006431327711811,33.309340462977076,-0.003217701939803767,-0.016957398999370328,-0.01882622735879988,-0.0033394576101118956,-0.0020926558160204722,0.031712389217361255,-1.2518484371182599,0.010864236988593382,3.47875054510448,3.0742609484097834,-1.0,0.78,-0.0313559908631551,-0.8660254037844385,-0.5000000000000004,3,2.0,0.8931180458156308,True,XRPUSDT|trend_ema|trend_ema__directionshort_only_fast12_rsi_threshold52.0_slow89
HYPEUSDT,trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow55,trend_ema,2026-03-07 19:00:00+00:00,2026-03-07 19:30:00+00:00,short,0.01251141682210206,0.01331141682210206,target,2,0.288385600272814,1,True,False,False,0.0015298569791216048,0.020416081825603755,0,0,0.012998999391161285,30.443,30.485,30.361,30.374,44075.92,2026-03-07 19:14:59.999000+00:00,1340239.90471,8647,17661.81,537098.16487,-0.0022362545493969173,-9.876380643738635e-05,-0.016975010983981048,-0.023026297841624407,0.5564516129032524,0.3387096774193424,0.10483870967740526,0.0040824389280305125,35.5807199863593,-0.05307186149434902,-0.009382011336543141,-0.010469081642825276,-0.002667100261141586,-0.0019052452705596856,0.025971468234431538,-0.886789453320226,0.1593520798041939,-0.39957429850254106,0.6601402948948524,-1.0,0.72,-0.020825274016763373,-0.9659258262890684,0.2588190451025203,5,2.0,0.8984204969227684,True,HYPEUSDT|trend_ema|trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow55
ETHUSDT,trend_ema__directionshort_only_fast12_rsi_threshold52.0_slow89,trend_ema,2026-03-10 21:30:00+00:00,2026-03-11 07:30:00+00:00,short,0.013408795017834164,0.014208795017834164,target,40,0.2618249233263617,1,True,False,False,0.0012832730475890227,0.015936248208643356,0,0,0.005793643659279204,2038.69,2040.02,2026.0,2029.28,54476.793,2026-03-10 21:44:59.999000+00:00,110757271.96052,80194,16864.009,34289367.243,-0.004626394385369149,-0.006586516344457746,-0.01725060914740968,-2.205729267916732,0.671184022824543,0.09486447931525885,0.23395149786019806,0.006908854371993999,36.908753833681914,-1.1858726026780202,-0.0074493547027268845,-0.00924588201901642,-0.0016244581622588683,-0.0011147541795314408,0.030582291670113376,-0.5798273255349088,11.75910805153125,-0.47229360521757346,0.6251249737842002,-1.0,0.26,-0.024178191540518146,-0.7071067811865477,0.7071067811865474,1,2.0,0.8879467452745071,True,ETHUSDT|trend_ema|trend_ema__directionshort_only_fast12_rsi_threshold52.0_slow89
SOLUSDT,trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow89,trend_ema,2026-03-10 22:00:00+00:00,2026-03-11 04:30:00+00:00,short,-0.010484797591526525,-0.009684797591526524,stop,26,0.338357269424271,0,False,True,False,0.011008527300575471,0.00813980373964793,0,0,0.00540818746272759,85.66,85.81,85.05,85.27,370350.24,2026-03-10 22:14:59.999000+00:00,31595687.1082,26078,152803.21,13040070.367,-0.004680013221994467,-0.00782668559289089,-0.020200361823974992,-2.4823869120654476,0.5131578947368394,0.19736842105263774,0.2894736842105229,0.008912865017004869,33.08213652878645,-0.09510626294625324,-0.011249021149030992,-0.014826900444320373,-0.0030049926988058306,-0.002253937771138692,0.03686808619830177,-0.6741429376845955,0.5677704372588921,-0.026673519474577367,0.9825646311878151,-1.0,0.28,-0.03343912944910454,-0.5000000000000004,0.8660254037844384,1,2.0,0.8942120911207665,True,SOLUSDT|trend_ema|trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow89
