symbol,family,trade_count,expectancy,precision,avg_probability
RIVERUSDT,trend_ema,16,0.04758971220852173,0.9375,0.6935463129836064
SIRENUSDT,trend_ema,11,0.04485815115233975,1.0,0.6586952224812872
PIPPINUSDT,trend_ema,7,0.038224760310428464,0.7142857142857143,0.7003999713548951
ENSOUSDT,trend_ema,5,0.02381813586976985,0.8,0.702656650689174
ZECUSDT,trend_ema,5,0.021229554977153845,1.0,0.6574731056413997
XRPUSDT,trend_ema,2,0.016588674404986677,1.0,0.6000455242410876
HYPEUSDT,trend_ema,8,0.01567396203020004,0.875,0.6423521037115291
SOLUSDT,trend_ema,6,0.013158332410546135,0.8333333333333334,0.6467980494987645
1000PEPEUSDT,trend_ema,3,0.010162947845245662,0.6666666666666666,0.665723889955035
DOGEUSDT,trend_ema,3,0.006262351570781426,0.6666666666666666,0.6986798638400172
BTCUSDT,trend_ema,2,0.0015097111737270357,0.5,0.5603852084634899
