symbol,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,5937978963.67,71545.0,True,,2026-03-15T15:05:53.635667+00:00
ETHUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,4764788285.2,2093.41,True,,2026-03-15T15:05:53.635667+00:00
BTCUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:30:00+00:00,1,3,1297102473.8,71551.1,True,,2026-03-15T15:05:53.635667+00:00
ETHUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:35:00+00:00,2,3,1218125422.51,2093.6,True,,2026-03-15T15:05:53.635667+00:00
SOLUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,906426288.7567,87.94,True,,2026-03-15T15:05:53.635667+00:00
RIVERUSDT,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,547914724.412,23.992,True,,2026-03-15T15:05:53.635667+00:00
COSUSDT,PERPETUAL,USDT,TRADING,2024-09-30 13:00:00+00:00,7,0,524009361.853451,0.001798,True,,2026-03-15T15:05:53.635667+00:00
XRPUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,460035397.9213,1.4182,True,,2026-03-15T15:05:53.635667+00:00
