symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,19822365467.7,2314.93,True,,2026-03-17T06:18:28.370450+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,19106695212.36,74082.0,True,,2026-03-17T06:18:28.370450+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2693103769.154,93.97,True,,2026-03-17T06:18:28.370450+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1595214074.6541,1.516,True,,2026-03-17T06:18:28.370450+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,1136100164.8223155,0.0038253,True,,2026-03-17T06:18:28.370450+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,1015417805.45623,0.10015,True,,2026-03-17T06:18:28.370450+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,942783845.76,269.08,True,,2026-03-17T06:18:28.370450+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,695870913.5657,23.639,True,,2026-03-17T06:18:28.370450+00:00
GUSDT,G,PERPETUAL,USDT,TRADING,2024-08-15 12:30:00+00:00,7,0,597517688.11014,0.004927,True,,2026-03-17T06:18:28.370450+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,568846189.19,281.0,True,,2026-03-17T06:18:28.370450+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,530941436.80832,40.904,True,,2026-03-17T06:18:28.370450+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,496512117.522,675.68,True,,2026-03-17T06:18:28.370450+00:00
