symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,16651367442.32,71011.9,True,,2026-03-18T22:27:24.958044+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,15936089984.32,2191.8,True,,2026-03-18T22:27:24.958044+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2386064524.0534,90.19,True,,2026-03-18T22:27:24.958044+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,972908755.95,1.4614,True,,2026-03-18T22:27:24.958044+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,882199790.86996,41.787,True,,2026-03-18T22:27:24.958044+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,727313908.61,247.93,True,,2026-03-18T22:27:24.958044+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,681232991.25176,0.09503,True,,2026-03-18T22:27:24.958044+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,548052543.91515,0.88273,True,,2026-03-18T22:27:24.958044+00:00
BARDUSDT,BARD,PERPETUAL,USDT,TRADING,2025-09-18 11:00:00+00:00,7,0,432319457.6159,0.6678,True,,2026-03-18T22:27:24.958044+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,426621853.145,650.79,True,,2026-03-18T22:27:24.958044+00:00
