2026-03-19 23:31:41,728 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=xgboost calibration=isotonic threshold=0.450 acceptance=0.406 precision=0.563 expectancy=0.00313 trades=71
2026-03-19 23:31:41,915 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=xgboost calibration=isotonic threshold=0.450 acceptance=0.406 precision=0.606 expectancy=0.00316 trades=71
2026-03-19 23:31:41,917 | INFO | binance_quant.ml.modeling | Finished model=xgboost calibration=isotonic folds=2 precision=0.585 expectancy=0.00315 trades=142
2026-03-19 23:31:42,041 | INFO | binance_quant.orchestration.research_loop | Research progress stage=completed details={'status': 'needs_iteration', 'trade_count': 20.0, 'portfolio_expectancy': 0.0056791488392253005}
2026-03-19 23:32:42,073 | INFO | binance_quant.orchestration.research_loop | Research progress stage=starting details={'hypothesis': 'Continuous loop iteration 123: wider_universe'}
2026-03-19 23:32:42,077 | INFO | binance_quant.orchestration.research_loop | Research progress stage=parity_passed details={'parity_checks': 1}
2026-03-19 23:32:42,430 | INFO | binance_quant.exchange.universe | Universe discovery found 12 eligible symbols
2026-03-19 23:32:42,447 | INFO | binance_quant.orchestration.research_loop | Research progress stage=universe_ready details={'symbol_count': 12, 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'DOGEUSDT', 'PAXGUSDT', 'ZECUSDT', 'SIRENUSDT', 'LYNUSDT', 'RIVERUSDT', 'BNBUSDT']}
2026-03-19 23:32:42,553 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 1, 'total_symbols': 12, 'current_symbol': 'BTCUSDT'}
2026-03-19 23:32:42,660 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 2, 'total_symbols': 12, 'current_symbol': 'ETHUSDT'}
2026-03-19 23:32:42,759 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 3, 'total_symbols': 12, 'current_symbol': 'SOLUSDT'}
2026-03-19 23:32:42,862 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 4, 'total_symbols': 12, 'current_symbol': 'XRPUSDT'}
