symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,18514731985.73,73743.4,True,,2026-03-17T14:14:48.324933+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,17228434586.31,2333.37,True,,2026-03-17T14:14:48.324933+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2478974912.9404,94.21,True,,2026-03-17T14:14:48.324933+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1757804262.576,1.5013,True,,2026-03-17T14:14:48.324933+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,1046731680.03,269.65,True,,2026-03-17T14:14:48.324933+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,859416464.52334,0.09897,True,,2026-03-17T14:14:48.324933+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,722934163.3849015,0.0036748,True,,2026-03-17T14:14:48.324933+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,634089385.1905,22.344,True,,2026-03-17T14:14:48.324933+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,594437327.14302,0.17988,True,,2026-03-17T14:14:48.324933+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,499514749.78,667.33,True,,2026-03-17T14:14:48.324933+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,495065528.85093,40.816,True,,2026-03-17T14:14:48.324933+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,477908941.53418,0.73214,True,,2026-03-17T14:14:48.324933+00:00
