symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,17555783417.96,74628.8,True,,2026-03-17T19:27:12.821190+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,14654355623.89,2334.39,True,,2026-03-17T19:27:12.821190+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2296659182.8226,95.02,True,,2026-03-17T19:27:12.821190+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1739259016.9422,1.5334,True,,2026-03-17T19:27:12.821190+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,960629804.27,273.7,True,,2026-03-17T19:27:12.821190+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,717270750.85534,0.10088,True,,2026-03-17T19:27:12.821190+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,669602574.1453025,0.003718,True,,2026-03-17T19:27:12.821190+00:00
PIPPINUSDT,PIPPIN,PERPETUAL,USDT,TRADING,2025-01-24 10:15:00+00:00,7,0,647407875.61132,0.14482,True,,2026-03-17T19:27:12.821190+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,506382313.31638,41.033,True,,2026-03-17T19:27:12.821190+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,502903418.2512,22.364,True,,2026-03-17T19:27:12.821190+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,446131416.522,673.64,True,,2026-03-17T19:27:12.821190+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,428284910.11501,0.73759,True,,2026-03-17T19:27:12.821190+00:00
