symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,9,0.05273815668689818,0.8888888888888888,0.7057553685791418
PIPPINUSDT,breakout,4,0.03879833934568644,1.0,0.8192237900406567
ZECUSDT,breakout,5,0.023483938066175936,1.0,0.7643034941426718
DOGEUSDT,breakout,2,0.020940628872187853,1.0,0.8069163907316181
ETHUSDT,breakout,1,0.019591768628157657,1.0,0.8327330929234124
XRPUSDT,breakout,1,0.01938510157804608,1.0,0.7870361786812646
1000PEPEUSDT,trend_ema,9,0.013650507067858465,0.8888888888888888,0.7615583815101383
SOLUSDT,trend_ema,11,0.00840950322131455,0.7272727272727273,0.7610843109568752
1000PEPEUSDT,breakout,3,0.007251638203851853,0.6666666666666666,0.8079694952433858
DOGEUSDT,trend_ema,10,0.006678885064630033,0.7,0.7762690967358195
BTCUSDT,trend_ema,4,0.006239325760542334,1.0,0.7811680452052401
ETHUSDT,trend_ema,7,0.00570974170118757,0.7142857142857143,0.7680790797727198
XRPUSDT,trend_ema,13,0.0055025516802680785,0.6923076923076923,0.7524535830878362
SOLUSDT,breakout,3,0.00405278226999073,0.3333333333333333,0.740222589321588
BTCUSDT,breakout,1,-0.003059218430270478,0.0,0.7887241783440282
ZECUSDT,trend_ema,8,-0.005873703683377274,0.25,0.7645326566409193
