symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,15605715338.36,71220.7,True,,2026-03-18T18:54:25.430251+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,14922141908.02,2184.18,True,,2026-03-18T18:54:25.430251+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2354601924.9617,89.6,True,,2026-03-18T18:54:25.430251+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,928285578.012,1.4517,True,,2026-03-18T18:54:25.430251+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,816968920.82577,42.781,True,,2026-03-18T18:54:25.430251+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,749977265.07,248.37,True,,2026-03-18T18:54:25.430251+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,662724826.20336,0.09449,True,,2026-03-18T18:54:25.430251+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,555127848.25644,0.88609,True,,2026-03-18T18:54:25.430251+00:00
