symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,38,0.03503120252082101,0.8157894736842105,0.8954242
PIPPINUSDT,breakout,4,0.03312244131246829,1.0,0.9162037
ZECUSDT,breakout,4,0.024148948665362307,1.0,0.86845237
XRPUSDT,breakout,1,0.01938510157804608,1.0,0.95
DOGEUSDT,breakout,4,0.0165781159717455,1.0,0.8454861
ZECUSDT,trend_ema,47,0.013886890577871826,0.8085106382978723,0.92715746
ETHUSDT,breakout,5,0.010870752300303974,0.8,0.8281145
1000PEPEUSDT,trend_ema,50,0.010799392655675331,0.76,0.9333907
1000PEPEUSDT,breakout,4,0.010232798782162707,0.75,0.8014703
ETHUSDT,trend_ema,45,0.008021281230236063,0.8222222222222222,0.9161564
SOLUSDT,trend_ema,49,0.007546689227148288,0.7551020408163265,0.9092909
DOGEUSDT,trend_ema,53,0.007316435937575118,0.7169811320754716,0.8974307
XRPUSDT,trend_ema,63,0.005582963333458095,0.7142857142857143,0.88446516
BTCUSDT,trend_ema,27,0.005195513552187088,0.8148148148148148,0.91699433
SOLUSDT,breakout,2,0.001019154835555952,0.5,0.81666666
BTCUSDT,breakout,2,-0.0036064183356895292,0.0,0.8074074
