symbol,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,5949514574.93,71516.5,True,,2026-03-15T14:51:22.800583+00:00
ETHUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,4749202479.85,2092.81,True,,2026-03-15T14:51:22.800583+00:00
BTCUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:30:00+00:00,1,3,1297498060.3,71517.8,True,,2026-03-15T14:51:22.800583+00:00
ETHUSDC,PERPETUAL,USDC,TRADING,2024-01-03 12:35:00+00:00,2,3,1214148153.69,2092.95,True,,2026-03-15T14:51:22.800583+00:00
SOLUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,905767152.1847,87.88,True,,2026-03-15T14:51:22.800583+00:00
RIVERUSDT,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,548103478.273,23.964,True,,2026-03-15T14:51:22.800583+00:00
COSUSDT,PERPETUAL,USDT,TRADING,2024-09-30 13:00:00+00:00,7,0,543280023.112664,0.001809,True,,2026-03-15T14:51:22.800583+00:00
XRPUSDT,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,459407204.929,1.4159,True,,2026-03-15T14:51:22.800583+00:00
