symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,21281463113.65,2340.31,True,,2026-03-16T23:21:20.610802+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,20143165123.37,74485.7,True,,2026-03-16T23:21:20.610802+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,3041178860.4703,95.67,True,,2026-03-16T23:21:20.610802+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1269845397.2878,1.5408,True,,2026-03-16T23:21:20.610802+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,1118633307.0083039,0.0040083,True,,2026-03-16T23:21:20.610802+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,1055327539.22554,0.10249,True,,2026-03-16T23:21:20.610802+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,818658081.89,286.71,True,,2026-03-16T23:21:20.610802+00:00
GUSDT,G,PERPETUAL,USDT,TRADING,2024-08-15 12:30:00+00:00,7,0,628229878.565662,0.00538,True,,2026-03-16T23:21:20.610802+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,604274900.43,282.86,True,,2026-03-16T23:21:20.610802+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,569749900.641,21.145,True,,2026-03-16T23:21:20.610802+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,518578660.163,677.76,True,,2026-03-16T23:21:20.610802+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,512700071.36124,40.983,True,,2026-03-16T23:21:20.610802+00:00
