symbol,family,trade_count,expectancy,precision,avg_probability
RIVERUSDT,trend_ema,78,0.045730455669748274,0.9102564102564102,0.8810406833535944
1000PEPEUSDT,trend_ema,77,0.012447150486821363,0.8051948051948052,0.8023670267054318
ZECUSDT,trend_ema,51,0.01223352613832288,0.7254901960784313,0.8108087012053231
DOGEUSDT,trend_ema,65,0.008587746388204276,0.7538461538461538,0.8236931983487827
ETHUSDT,trend_ema,55,0.008437740257678225,0.7818181818181819,0.7931648781871982
SOLUSDT,trend_ema,70,0.008356137093857815,0.7714285714285715,0.7917290878070233
XRPUSDT,trend_ema,67,0.007327975247088918,0.7761194029850746,0.8045955365737462
BTCUSDT,trend_ema,69,0.00375435949142865,0.7101449275362319,0.8042779197804372
