symbol,family,trade_count,expectancy,precision,avg_probability
ZECUSDT,breakout,1,0.020578867513954324,1.0,0.7231561358831314
XRPUSDT,breakout,2,0.015505586276040723,1.0,0.8909857145699325
ZECUSDT,trend_ema,27,0.013863720103485768,0.7777777777777778,0.8531692123731345
1000PEPEUSDT,trend_ema,31,0.012640538702904403,0.8064516129032258,0.8661266477658607
1000PEPEUSDT,breakout,4,0.012322051455718009,0.75,0.8244253250768528
XRPUSDT,trend_ema,32,0.009089970471932404,0.84375,0.8298019378232442
ETHUSDT,trend_ema,27,0.009035862415158453,0.8518518518518519,0.8348574349573299
SOLUSDT,trend_ema,33,0.008364995502074573,0.7575757575757576,0.8379390601835408
ETHUSDT,breakout,4,0.00835351215751704,0.75,0.7657806513086375
SOLUSDT,breakout,4,0.006336229088436599,0.5,0.772678623126279
BTCUSDT,trend_ema,21,0.005127644374198871,0.7619047619047619,0.8115264804429093
BTCUSDT,breakout,2,0.0015633262848196118,0.5,0.8283012556205571
