symbol,family,trade_count,expectancy,precision,avg_probability
PIPPINUSDT,trend_ema,12,0.051827042284472415,0.9166666666666666,0.6990779525430463
PIPPINUSDT,breakout,4,0.03879833934568644,1.0,0.7929061725250155
ETHUSDT,breakout,1,0.019591768628157657,1.0,0.7969728451543086
XRPUSDT,breakout,1,0.01938510157804608,1.0,0.8107046281419329
DOGEUSDT,breakout,3,0.018532451288801707,1.0,0.7102778726771947
ZECUSDT,breakout,6,0.017550609589884754,0.8333333333333334,0.7391763707105182
1000PEPEUSDT,trend_ema,10,0.015561076244915881,0.9,0.7112531165614759
1000PEPEUSDT,breakout,4,0.010232798782162707,0.75,0.7302463912224315
DOGEUSDT,trend_ema,16,0.006852001744056513,0.6875,0.699775566255843
BTCUSDT,trend_ema,4,0.006239325760542334,1.0,0.7530463793975071
SOLUSDT,trend_ema,11,0.005825394089249131,0.6363636363636364,0.7508446382377393
XRPUSDT,trend_ema,15,0.005756340671972503,0.6666666666666666,0.7089202777106216
ETHUSDT,trend_ema,11,0.005614737350970059,0.7272727272727273,0.6859424340055352
SOLUSDT,breakout,3,0.00405278226999073,0.3333333333333333,0.7174245657615991
ZECUSDT,trend_ema,7,-0.0002663470011794713,0.42857142857142855,0.7095536759637832
BTCUSDT,breakout,2,-0.0036064183356895292,0.0,0.6678235897445208
