symbol,strategy_id,family,entry_time,exit_time,side,net_return,gross_return,exit_reason,bars_held,signal_strength,label_take,target_hit,stop_hit,horizon_hit,mae,mfe,mae_limit_breached,recent_same_side_failures,recent_same_side_mean_return,open,high,low,close,volume,close_time,quote_asset_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,log_return_1,log_return_4,log_return_16,vol_norm_return_4,body_ratio,upper_wick_ratio,lower_wick_ratio,range_ratio,rsi_14,macd_hist,ema_fast_distance,ema_slow_distance,ema_fast_slope,ema_slow_slope,bb_bandwidth,bb_zscore,atr_14,volume_zscore,relative_volume,trend_regime,volatility_regime,drawdown_20,hour_sin,hour_cos,day_of_week,session_bucket,probability,accepted
1000PEPEUSDT,trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow89,trend_ema,2026-03-10 22:00:00+00:00,2026-03-11 10:00:00+00:00,short,0.007824896612198599,0.008724896612198598,horizon,48,0.3999661523172676,1,False,False,True,0.005330360718252554,0.015706989886504794,0,0,0.005513450067404925,0.0032948,0.0032976,0.0032765,0.0032831,1527065688.0,2026-03-10 22:14:59.999000+00:00,5019828.7475518,21651,724925859.0,2382989.727923,-0.0035877204795398193,-0.01304241325316948,-0.0231528759743799,-2.778032177796993,0.5545023696682413,0.13270142180094066,0.3127962085308181,0.006426852669732881,30.001692384136618,-5.120307609741419e-06,-0.01765974772254549,-0.023603376838301333,-0.004795554289206638,-0.0035801892271626334,0.0474669959525642,-0.7409144875753696,2.7040384303010518e-05,0.0038341921872124653,1.0020345637176042,-1.0,0.42,-0.04638666201928665,-0.5000000000000004,0.8660254037844384,1,2.0,0.7634280528635887,True
ETHUSDT,trend_ema__directionshort_only_fast12_rsi_threshold55.0_slow89,trend_ema,2026-02-27 10:00:00+00:00,2026-02-27 10:45:00+00:00,short,0.012211874829589874,0.013111874829589873,target,3,0.49586313696063344,1,True,False,False,0.0021866879038363973,0.015493980462352605,0,0,0.005363987258526808,2008.81,2012.8,1983.0,1985.52,200704.007,2026-02-27 10:14:59.999000+00:00,400518861.73456,242127,83259.016,166162867.98166,-0.011656684293338068,-0.024747643658371333,-0.025356713911839454,-6.640780081555462,0.7815436241610738,0.13389261744966494,0.08456375838926126,0.015008662718078868,25.20684315196833,-4.7046082553698785,-0.02056572596586105,-0.022108122329741884,-0.003974081813793107,-0.0014601985111599713,0.026479887897409203,-1.682151870284944,11.909770471538577,3.846860360953762,4.174523984047988,-1.0,0.79,-0.029014353131036508,0.49999999999999994,-0.8660254037844387,4,1.0,0.7829532485813756,True
PIPPINUSDT,trend_ema__directionshort_only_fast21_rsi_threshold52.0_slow89,trend_ema,2026-02-16 22:30:00+00:00,2026-02-16 22:45:00+00:00,short,0.04117388762896489,0.04207388762896489,target,1,0.5263512063861165,1,True,False,False,0.005830538792807635,0.05570801972729196,0,0,0.0023085983713943175,0.68036,0.68419,0.6562,0.6655,16616113.0,2026-02-16 22:44:59.999000+00:00,11180538.64763,66671,7926168.0,5338306.06174,-0.022068733801701185,-0.05503160248109053,-0.10716504729218224,-5.830639752767219,0.5309038942479459,0.1368345837799216,0.3322615219721325,0.04205860255447026,23.682439680694173,-0.005283828043768543,-0.06039936409722289,-0.06966361097634123,-0.013165858929691243,-0.0074630094101276745,0.09967465240440387,-1.3331612291145565,0.012629447040561882,2.194056849707236,2.6030881539458623,-1.0,0.26,-0.10162261400145789,-0.5000000000000004,0.8660254037844384,0,2.0,0.777832618267936,True
SOLUSDT,trend_ema__directionshort_only_fast21_rsi_threshold55.0_slow89,trend_ema,2026-03-05 16:00:00+00:00,2026-03-06 04:00:00+00:00,short,0.013194913667860924,0.014094913667860923,horizon,48,0.36583520717924783,1,False,False,True,0.0029920231478184366,0.01900880399393862,0,0,0.0037263495041895875,89.56,89.58,87.85,88.18,1598369.62,2026-03-05 16:14:59.999000+00:00,141293154.3877,71026,662845.48,58541231.7234,-0.015528611800762402,-0.01753642061804555,-0.03826940852880452,-2.6815918041455196,0.7976878612716718,0.01156069364161617,0.190751445086712,0.019618961215695212,31.708239641037608,-0.29740224669789017,-0.024328259716274718,-0.02848092316299627,-0.005103535375820201,-0.003727631351540972,0.04872005899589828,-1.1625420745502084,0.8771651249923453,3.689929870708086,3.5734883183601127,-1.0,0.82,-0.04411924119241184,-0.8660254037844385,-0.5000000000000004,3,2.0,0.7840114240171098,True
SOLUSDT,trend_ema__directionlong_only_fast12_rsi_threshold58.0_slow55,trend_ema,2026-03-04 07:45:00+00:00,2026-03-04 08:45:00+00:00,long,0.01770419221915547,0.01860419221915547,target,4,0.30066200717996594,1,True,False,False,0.002275908874056171,0.037743772043838,0,3,0.003959017462574953,86.69,87.49,86.51,87.38,687827.68,2026-03-04 07:59:59.999000+00:00,59968720.7207,44581,392241.83,34194671.0987,0.007812539736793625,0.021048539309084808,0.019296918612498434,4.125122097206308,0.7040816326530662,0.11224489795918427,0.18367346938774948,0.011215381094071754,65.0331003589983,0.19012201673895804,0.01583919112864229,0.017381935240431825,0.003356432079528293,0.001261199108756994,0.02928311389068794,1.3145098948202425,0.6691588508149351,2.4385708685672673,2.3653869381792028,1.0,0.76,0.0,0.9659258262890683,-0.25881904510252063,2,0.0,0.6436654176891836,True
SOLUSDT,trend_ema__directionshort_only_fast21_rsi_threshold58.0_slow89,trend_ema,2026-03-01 18:45:00+00:00,2026-03-01 20:00:00+00:00,short,0.01977005711516591,0.02067005711516591,target,5,0.2291008519129777,1,True,False,False,0.001268122632594953,0.022823074344341977,0,0,0.016835082645679324,84.28,84.37,83.8,83.89,289121.43,2026-03-01 18:59:59.999000+00:00,24281981.5495,17178,154219.83,12947786.7423,-0.004519512926058741,0.00047692858898547606,-0.02192966918784606,0.07931930825671357,0.6842105263157816,0.1578947368421092,0.1578947368421092,0.006794611991894235,38.544957404351116,-0.10287777765708495,-0.00993142215735978,-0.014607782209213558,-0.0025056295584939825,-0.002559300166938616,0.04738761724726627,-0.5861580843643664,0.6876403425538545,-0.2592795064166694,0.7622460957771614,-1.0,0.73,-0.029949121184088878,-1.0,-1.8369701987210297e-16,6,2.0,0.6198459954584501,True
