symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,15384187721.13,69128.7,True,,2026-03-19T15:37:29.009036+00:00
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,14775323687.08,2109.15,True,,2026-03-19T15:37:29.009036+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2207366939.1111,87.67,True,,2026-03-19T15:37:29.009036+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,880054331.7388,1.4257,True,,2026-03-19T15:37:29.009036+00:00
HYPEUSDT,HYPE,PERPETUAL,USDT,TRADING,2025-05-30 10:30:00+00:00,5,2,807560637.05967,39.321,True,,2026-03-19T15:37:29.009036+00:00
PAXGUSDT,PAXG,PERPETUAL,USDT,TRADING,2025-03-27 10:30:00+00:00,4,3,578693625.0484,4579.68,True,,2026-03-19T15:37:29.009036+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,548606708.26959,0.09232,True,,2026-03-19T15:37:29.009036+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,539093623.12,235.2,True,,2026-03-19T15:37:29.009036+00:00
SIRENUSDT,SIREN,PERPETUAL,USDT,TRADING,2025-03-22 09:00:00+00:00,7,0,532836366.53064,0.82341,True,,2026-03-19T15:37:29.009036+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,424499916.3687,25.682,True,,2026-03-19T15:37:29.009036+00:00
