symbol,base_asset,contract_type,quote_asset,status,onboard_date,price_precision,quantity_precision,quote_volume_24h,last_price,eligible,rejection_reason,selected_at
ETHUSDT,ETH,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,17647410799.86,2301.03,True,,2026-03-16T14:07:45.360510+00:00
BTCUSDT,BTC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,17045477672.08,74315.4,True,,2026-03-16T14:07:45.360510+00:00
SOLUSDT,SOL,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,2,2723300169.4988,94.21,True,,2026-03-16T14:07:45.360510+00:00
XRPUSDT,XRP,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,4,1,1014954781.7454,1.4853,True,,2026-03-16T14:07:45.360510+00:00
1000PEPEUSDT,1000PEPE,PERPETUAL,USDT,TRADING,2023-05-05 00:00:00+00:00,7,0,918103321.7037479,0.004018,True,,2026-03-16T14:07:45.360510+00:00
DOGEUSDT,DOGE,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,6,0,852007919.22926,0.10103,True,,2026-03-16T14:07:45.360510+00:00
TAOUSDT,TAO,PERPETUAL,USDT,TRADING,2024-04-11 14:30:00+00:00,2,3,753675737.51,298.66,True,,2026-03-16T14:07:45.360510+00:00
ZECUSDT,ZEC,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,2,3,473535483.14,232.68,True,,2026-03-16T14:07:45.360510+00:00
BNBUSDT,BNB,PERPETUAL,USDT,TRADING,2019-09-25 08:00:00+00:00,3,2,466851735.99,681.3,True,,2026-03-16T14:07:45.360510+00:00
TRUMPUSDT,TRUMP,PERPETUAL,USDT,TRADING,2025-01-18 13:00:00+00:00,6,2,463592701.12656,3.822,True,,2026-03-16T14:07:45.360510+00:00
RIVERUSDT,RIVER,PERPETUAL,USDT,TRADING,2025-10-17 14:45:00+00:00,6,1,460022550.8594,24.164,True,,2026-03-16T14:07:45.360510+00:00
GUSDT,G,PERPETUAL,USDT,TRADING,2024-08-15 12:30:00+00:00,7,0,443079258.541336,0.005502,True,,2026-03-16T14:07:45.360510+00:00
